id	term	definition	refs	seeAlso
ANOINTING	Anointing	A symbol of the Holy Spirit, whose “anointing” of Jesus as Messiah fulfilled the prophecies of the Old Testament. Christ (in Hebrew Messiah) means the one “anointed” by the Holy Spirit. Anointing is the sacramental sign of Confirmation, called Chrismation in the Churches of the East. Anointings form part of the liturgical rites of the catechumenate, and of the Sacraments of Baptism and Holy Orders.	695	Christ
ANOINTING_OF_THE_SICK	Anointing Of The Sick	One of the seven sacraments, also known as the “sacrament of the dying,” administered by a priest to a baptized person who begins to be in danger of death because of illness or old age, through prayer and the anointing of the body with the oil of the sick. The proper effects of the sacrament include a special grace of healing and comfort to the Christian who is suffering the infirmities of serious illness or old age, and the forgiving of the person’s sins.	1499,1520,1523,1526,1527,1528,1529,1530,1531,1532	
ANTICHRIST	Antichrist	The “deceitful one” referred to in the New Testament, associated with the “mystery of iniquity” which will precede the second coming of Christ, through which people will be led away from the truth to follow a false “messianism,” by which man glorifies himself and human achievement in place of God and his Messiah come in the flesh, in whom the kingdom will be fulfilled.	675,676,677	
APOSTASY	Apostasy	The total repudiation of the Christian faith.	817,2089	
APOSTLE	Apostle	A term meaning one who is sent as Jesus was sent by the Father, and as he sent his chosen disciples to preach the Gospel to the whole world. He called the Twelve to become his Apostles, chosen witnesses of his Resurrection and the foundation on which the Church is built. The apostolic office is permanent in the Church, in order to ensure that the divine mission entrusted to the Apostles by Jesus will continue to the end of time. The bishops receive their office as successors of the Apostles through the Sacrament of Holy Orders.	857,860	Apostolic Succession
APOSTLES__CREED	Apostles' Creed	A statement of Christian faith developed from the baptismal creed or “symbol” of the ancient Church of Rome, the see of St. Peter, first of the Apostles. The Apostles’ Creed is considered to be a faithful summary of the faith of the Apostles.	194	
APOSTOLATE	Apostolate	The activity of the Christian which fulfills the apostolic nature of the whole Church by working to extend the reign of Christ to the entire world.	863	
APOSTOLIC_SUCCESSION	Apostolic Succession	The handing on of apostolic preaching and authority from the Apostles to their successors the bishops through the laying on of hands, as a permanent office in the Church.	77,861	
APPARITION	Apparition	An appearance to people on earth of a heavenly being—Christ, Mary, an angel, or a saint. The apparitions of Jesus in his risen body to his disciples occurred between Easter and his Ascension into heaven.	641,659	
ASCENSION	Ascension	The entry of Jesus’ humanity into divine glory in God’s heavenly domain, forty days after his Resurrection.	659,665	
ASCESIS	Ascesis	The practice of penance, mortification, and self-denial to promote greater self-mastery and to foster the way of perfection by embracing the way of the cross.	2015	
ASSUMPTION	Assumption	The dogma which recognizes the Blessed Virgin Mary’s singular participation in her Son’s Resurrection by which she was taken up body and soul into heavenly glory, when the course of her earthly life was finished. ATHEISM: The denial in theory and/or practice that God exists. Atheism is a sin against the virtue of religion required by the first commandment of the law.	966,2124,2125	
BAPTISM	Baptism	The first of the seven sacraments, and the “door” which gives access to the other sacraments. Baptism is the first and chief sacrament of forgiveness of sins because it unites us with Christ, who died for our sins and rose for our justification. Baptism, Confirmation, and Eucharist constitute the “sacraments of initiation” by which a believer receives the remission of original and personal sin, begins a new life in Christ and the Holy Spirit, and is incorporated into the Church, the Body of Christ. The rite of Baptism consists in immersing the candidate in water, or pouring water on the head, while pronouncing the invocation of the Most Holy Trinity: the Father, the Son, and the Holy Spirit.	977,1213,1275,1278	
BEATIFIC_VISION	Beatific Vision	The contemplation of God in heavenly glory, a gift of God which is a constitutive element of the happiness (or beatitude) of heaven.	1028,1720	
BEATITUDE	Beatitude	Happiness or blessedness, especially the eternal happiness of heaven, which is described as the vision of God, or entering into God’s rest by those whom He makes “partakers of the divine nature”.	1024,1721	
BEATITUDES	Beatitudes	The teachings of Jesus in the Sermon on the Mount on the meaning and way to true happiness (cf. Mt 5:1-12; Lk 6:20-23). These teachings reflect the promises made to the chosen people since Abraham; they portray the countenance of Christ and describe his charity. More- over, by shedding light on the actions and attitudes characteristic of the Christian life, they describe the vocation of all the faithful.	1716	
BIBLE	Bible	Sacred Scripture: the books which contain the truth of God’s Revelation and were composed by human authors inspired by the Holy Spirit (105). The Bible contains both the forty-six books of the Old Testament and the twenty-seven books of the New Testament.	105,120	Old Testament; New Testament
BIBLICAL_INSPIRATION	Biblical Inspiration	The gift of the Holy Spirit which assisted a human author to write a biblical book so that it has God as its author and teaches faithfully, without error, the saving truth that God has willed to be consigned to us.	105	
BISHOP	Bishop	One who has received the fullness of the Sacrament of Holy Orders, which makes him a member of the episcopal college and a successor of the Apostles. He is the shepherd of a particular church entrusted to him.	861,886,1557	
BLASPHEMY	Blasphemy	Speech, thought, or action involving contempt for God or the Church, or persons or things dedicated to God. Blasphemy is directly opposed to the second commandment.	2148	
BLESSED_SACRAMENT	Blessed Sacrament	A name given to the Holy Eucharist, especially the consecrated elements reserved in the tabernacle for adoration, or for the sick.	1330	
BLESSING	Blessing	A blessing or benediction is a prayer invoking God’s power and care upon some person, place, thing, or undertaking. The prayer of benediction acknowledges God as the source of all blessing. Some blessings confer a permanent status: consecration of persons to God, or setting things apart for liturgical usage.	1671,2626	
BODY_OF_CHRIST	Body Of Christ	(1) The human body which the Son of God assumed through his conception in the womb of Mary and which is now glorified in heaven (467, 476, 645). (2) This same Body and Blood, together with the soul and divinity, of our Lord Jesus Christ are sacramentally present in the Eucharist under the appearances of bread and wine (1374). (3) The Church is called the (mystical) Body of Christ because of the intimate communion which Jesus shares with his disciples; the metaphor of a body, whose head is Christ and whose members are the faithful, provides an image which keeps in focus both the unity and the diversity of the Church.	1,2,3,467,476,645,787,790,1374,1396	
CALUMNY	Calumny	A false statement which harms the reputation of others and gives occasion for false judgments concerning them.	2477	
CANON_LAW	Canon Law	The rules (canons or laws) which provide the norms for good order in the visible society of the Church. Those canon laws that apply universally are contained in the Codes of Canon Law. The most recent Code of Canon Law was promulgated in 1983 for the Latin (Western) Church and in 1991 for the Eastern Church (The Code of Canons of the Eastern Churches).		
CANON_OF_THE_MASS	Canon Of The Mass	The central part of the Mass, also known as the Eucharistic Prayer or “anaphora,” which contains the prayer of thanksgiving and consecration.	1352	
CANON_OF_SCRIPTURE	Canon Of Scripture	The Church’s complete list of sacred books of the Bible.	120	
CANONIZATION	Canonization	The solemn declaration by the Pope that a deceased member of the faithful may be proposed as a model and intercessor to the Christian faithful and venerated as a saint on the basis of the fact that the person lived a life of heroic virtue or remained faithful to God through martyrdom.	828,957	
CAPITAL_SINS	Capital Sins	Sins which engender other sins and vices. They are traditionally numbered as seven: pride, covetousness, envy, anger, gluttony, lust, and sloth.	1866	
CARDINAL_VIRTUES	Cardinal Virtues	Four pivotal human virtues (from the Latin cardo, “pivot”): prudence, justice, fortitude, and temperance. The human virtues are stable dispositions of the intellect and will that govern our acts, order our passions, and guide our conduct in accordance with reason and faith.	1805,1834	
CATECHESIS	Catechesis	An education of children, young people, and adults in the faith of the Church through the teaching of Christian doctrine in an organic and systematic way to make them disciples of Jesus Christ. Those who perform the ministry of catechesis in the Church are called “catechists”.	5,426,427	
CATECHISM	Catechism	A popular summary or compendium of Catholic doctrine about faith and morals and designed for use in catechists.	11	
CATECHUMEN	Catechumen	A person who is preparing for Baptism. The catechumenate is the formation of these catechumens in preparation for their Christian Initiation, and aims at bringing their conversion and their faith to maturity within the ecclesial community (1248). The candidates are anointed with oil of catechumens by which they are strengthened in their conversion from sin and renunciation of Satan.	1237,1248	
CATHEDRAL	Cathedral	The official church of the bishop of a diocese. The Greek word cathedra means chair or throne; the bishop’s “chair” symbolizes his teaching and governing authority, and is located in the principal church or “cathedral” of the local diocese of which he is the chief pastor.	1572	
CATHOLIC	Catholic	One of the four marks or notes of the Church, taken from the Nicene Creed. The Church is catholic or universal both because she possesses the fullness of Christ’s presence and the means of salvation, and because she has been sent out by Christ on a mission to the whole of the human race.	750,830	
CATHOLIC_CHURCH	Catholic Church	The Church established by Christ on the foundation of the Apostles, possessing the fullness of the means of salvation which he has willed: correct and complete confession of faith, full sacramental life, and ordained ministry in apostolic succession.	830	
CELIBACY	Celibacy	The state or condition of those who have chosen to remain unmarried for the sake of the kingdom of heaven in order to give themselves entirely to God and to the service of his people. In the Latin Church, celibacy is obligatory for bishops and priests. In some Eastern Churches, celibacy is a prerequisite for the ordination only of bishops; priests may not marry after they have been ordained.	1579,1580	
CHARACTER__SACRAMENTAL	Character, Sacramental	An indelible spiritual mark which is the permanent effect of the Sacraments of Baptism, Confirmation, and Holy Orders, by which a person is given a new permanent configuration to Christ and a specific standing in the Church; the reception of these sacraments is never repeated.	1272,1304,1582	
CHARISM	Charism	A specific gift or grace of the Holy Spirit which directly or indirectly benefits the Church, given in order to help a person live out the Christian life, or to serve the common good in building up the Church.	799,951	
CHARITY	Charity	The theological virtue by which we love God above all things for his own sake, and our neighbor as ourselves for the love of God.	1822	
CHASTITY	Chastity	The moral virtue which, under the cardinal virtue of temperance, provides for the successful integration of sexuality within the person leading to the inner unity of the bodily and spiritual being (2337). Chastity is called one of the fruits of the Holy Spirit.	1832,2337	
CHOIR	Choir	A group of persons trained to lead in the singing at liturgical celebrations.	1143	
CHRISM	Chrism	Perfumed oil, consecrated by the bishop, which signifies the gift of the Holy Spirit. Chrism is used for consecration in the Sacraments of Baptism, Confirmation, and Holy Orders.	1241,1289,1291,1294	
CHRISMATION	Chrismation	The name used in the Eastern Churches for the Sacrament of Confirmation, from the “chrism” or “myron” used in the anointing.	1289	
CHRIST	Christ	From the Greek translation of the Hebrew Messiah, which means “anointed.” It became the name proper to Jesus because he accomplished perfectly the divine mission of priest, prophet, and King, signified by his anointing as Messiah, “Christ”.	436	Jesus Christ; Messiah; Anointing
CHRISTIAN	Christian	A name derived from that of Christ himself. The name refers to all those who have been anointed through the gift of the Holy Spirit in Baptism; hence, the followers of Christ, the members of the Christian Church. According to Acts 11:26 “it was in Antioch that the disciples were first called Christians”.	1289	
CHRISTMAS	Christmas	The feast of the Nativity, the birth of Jesus.	1171	
CHURCH	Church	The name given the “convocation” or “assembly” of the People God has called together from “the ends of the earth.” In Christian usage, the word “Church” has three inseparable meanings: the People that God gathers in the whole world; the particular or local church (diocese); and the liturgical (above all Eucharistic) assembly. The Church draws her life from the Word and the Body of Christ, and so herself becomes Christ’s Body (752). In the Creed, the sole Church of Christ is professed to be one, holy, catholic, and apostolic.	752,811	
CIRCUMCISION	Circumcision	The rite prescribed in Judaism and other cultures which involves cutting off the foreskin of a male. Circumcision was a sign of the covenant between God and his people Israel and prefigured the rite of Christian initiation in Baptism. Jesus was circumcised eight days after his birth in accord with Jewish law.	527	
COLLEGIALITY	Collegiality	The principle that all the bishops of the Church with the Pope at their head form a single “college,” which succeeds in every generation the “college” of the Twelve Apostles, with Peter at their head, which Christ instituted as the foundation of the Church. This college of bishops together with, but never without, the Pope has supreme and full authority over the universal Church.	861,880,883	
COMMANDMENT	Commandment	A norm of moral and/or religious action; above all, the Ten Commandments given by God to Moses. Jesus summarized all the commandments in the twofold command of love of God and love of neighbor.	2052	
COMMANDMENTS_OF_THE_CHURCH	Commandments Of The Church			Precepts of the Church
COMMUNION	Communion	Holy Communion, the reception of the Body and Blood of Christ in the Eucharist (1382). More generally, our fellowship and union with Jesus and other baptized Christians in the Church, which has its source and summit in the celebration of the Eucharist. In this sense, Church as communion is the deepest vocation of the Church.	959,1382	
COMMUNION_OF_SAINTS	Communion Of Saints	The unity in Christ of all the redeemed, those on earth and those who have died. The communion of saints is professed in the Apostles’ Creed, where it has also been interpreted to refer to unity in the “holy things” (communio sanctorum), especially the unity of faith and charity achieved through participation in the Eucharist.	948,957,960,1474	
CONCUPISCENCE	Concupiscence	Human appetites or desires which remain disordered due to the temporal consequences of original sin, which remain even after Baptism, and which produce an inclination to sin.	1264,1426,2515	
CONFESSION	Confession	An essential element of the Sacrament of Penance and Reconciliation, which consists in telling one’s sins to the priestly minister. By extension, the word confession is used to refer to the Sacrament of Penance itself.	1455	
CONFIRMATION	Confirmation	One of the ensemble of the Sacraments of Initiation into the Church, together with Baptism and Eucharist. Confirmation completes the grace of Baptism by a special outpouring of the gifts of the Holy Spirit, which seal or “confirm” the baptized in union with Christ and equip them for active participation in the worship and apostolic life of the Church.	1285	
CONSCIENCE	Conscience	The interior voice of a human being, within whose heart the inner law of God is inscribed. Moral conscience is a judgment of practical reason about the moral quality of a human action. It moves a person at the appropriate moment to do good and to avoid evil (1777-1778). An examination of conscience is recommended as a preparation for the reception of the Sacrament of Penance.	1454,1777,1778	
CONSECRATED_LIFE	Consecrated Life	A permanent state of life recognized by the Church, entered freely in response to the call of Christ to perfection, and characterized by the profession of the evangelical counsels of poverty, chastity, and obedience.	914	Vow
CONSECRATED_VIRGINS	Consecrated Virgins	Women who have decided with the Church’s approval to cling only to the Lord and to live in a state of virginity “for the sake of the kingdom of heaven” and are consecrated in that state by a solemn rite.	922,923,924	
CONSECRATION	Consecration	The dedication of a thing or person to divine service by a prayer or blessing. The consecration at Mass is that part of the Eucharistic Prayer during which the Lord’s words of institution of the Eucharist at the Last Supper are recited by the priestly minister, making Christ’s Body and Blood—his sacrifice offered on the cross once for all—sacramentally present under the species of bread and wine.	1352,1353	
CONTEMPLATION	Contemplation	A form of wordless prayer in which mind and heart focus on God’s greatness and goodness in affective, loving adoration; to look on Jesus and the mysteries of his life with faith and love.	2628,2715	
CONTRACEPTION__ARTIFICIAL	Contraception, Artificial	The use of mechanical, chemical, or medical procedures to prevent conception from taking place as a result of sexual intercourse; contraception offends against the openness to procreation required of marriage and also the inner truth of conjugal love.	2370	
CONTRITION	Contrition	Sorrow of the soul and hatred for the sin committed, together with a resolution not to sin again. Contrition is the most important act of the penitent, and is necessary for the reception of the Sacrament of Penance.	1451	
CONVERSION	Conversion	A radical reorientation of the whole life away from sin and evil, and toward God. This change of heart or conversion is a central element of Christ’s preaching, of the Church’s ministry of evangelization, and of the Sacrament of Penance and Reconciliation.	821,1423,1427,1431	
COUNCIL__ECUMENICAL	Council, Ecumenical	A gathering of all the bishops of the world, in the exercise of their collegial authority over the universal Church. An ecumenical council is usually called by the successor of St. Peter, the Pope, or at least confirmed or accepted by him.	884	
COUNSEL	Counsel			Evangelical Counsels; Gifts of the Holy Spirit
COVENANT	Covenant	A solemn agreement between human beings or between God and a human being involving mutual commitments or guarantees. The Bible refers to God’s covenants with Noah, Abraham, and Moses as leader of the chosen people, Israel. In the Old Testament or Covenant, God revealed his law through Moses and prepared his people for salvation through the prophets. In the New Testament or Covenant, Christ established a new and eternal covenant through his own sacrificial death and Resurrection. The Christian economy is the new and definitive Covenant which will never pass away, and no new public revelation is to be expected before the glorious manifestation of our Lord Jesus Christ.	56,62,66	Old Testament; New Testament
COVETOUSNESS	Covetousness	A disordered inclination or desire for pleasure or possessions. One of the capital sins, it is proscribed by the ninth and tenth commandments.	2514,2534	
CREATION	Creation	The act by which the eternal God gave a beginning to all that exists outside of himself. Creation also refers to the created universe or totality of what exists, as often expressed by the formula “the heavens and the earth”.	290	
CREED	Creed	A brief, normative summary statement or profession of Christian faith, e.g., the Apostles’ Creed, the Nicene Creed. The word “Creed” comes from the Latin Credo, meaning “I believe,” with which the Creed begins. Creeds are also called Symbols of Faith.	187	
CROSS	Cross	The instrument of execution on which Christ died; a symbol of the unique sacrifice of Christ as sole mediator between God and man. Jesus invited his disciples to take up their cross and follow him, in order to associate with his redeeming sacrifice those who were to be its first beneficiaries. Catholics begin their prayers and actions with the Sign of the Cross “in the name of the Father, and of the Son, and of the Holy Spirit. Amen.” A devotional cross with the figure of Jesus suspended on it is called a “crucifix”.	616,618,2166	
DEACON__DIACONATE	Deacon, Diaconate	A third degree of the hierarchy of the Sacrament of Holy Orders, after bishop and priest. The deacon is ordained not to priesthood but for ministry and service. Deacons are ordained to assist the bishop and priests in the celebration of the divine mysteries, above all the Eucharist, in the distribution of Holy Communion, in assisting at and blessing marriages, in the proclamation of the Gospel and preaching, in presiding over funerals, and in dedicating themselves to the various ministries of charity. While the Churches of the East have always had a functioning order of deacons, in the West the permanent diaconate was reestablished by the Second Vatican Council.	1569,1571	
DECALOGUE	Decalogue	The Ten Commandments (literally, “ten words”) given by God to Moses on Sinai. In order to be faithful to the teaching of Jesus, the Decalogue must be interpreted in the light of the great commandment of love of God and neighbor.	2055,2056	Commandment
DEFINITION__DOGMATIC	Definition, Dogmatic	A solemn declaration by an ecumenical council or by the Pope that a doctrine is revealed by God and must be believed by the universal Church; such definitions are called infallible, and must be adhered to with the obedience of faith.	891	
DEMON	Demon			Devil/Demon
DEPOSIT_OF_FAITH	Deposit Of Faith	The heritage of faith contained in Sacred Scripture and Tradition, handed on in the Church from the time of the Apostles, from which the Magisterium draws all that it proposes for belief as being divinely revealed.	84,1202	
DESCENT_INTO_HELL	Descent Into Hell	An article in the Apostles’ Creed referring to the victory over death and sin which Christ won by being “raised from the dead.” Jesus, like all people, experienced death and in his soul joined the others in the realm of the dead, where he descended as Savior, proclaiming the Gospel to the spirits imprisoned there in order to free the just ones who had gone before him.	632	
DESPAIR	Despair	The abandonment of hope in salvation and the forgiveness of sins.	2091	
DETRACTION	Detraction	Disclosure of another’s faults and sins, without an objectively valid reason, to persons who did not know about them, thus causing unjust injury to that person’s reputation.	2477	
DEVELOPMENT__DOCTRINAL	Development, Doctrinal	Growth in the understanding of God’s revelation, which continues through the contemplation and study of believers, theological research, and the preaching of the Magisterium.	94	
DEVIL_DEMON	Devil/demon	A fallen angel, who sinned against God by refusing to accept his reign. Satan, or the devil, the Evil One, and the other demons were at first good angels, created naturally good, who became evil by their own doing.	391,1707,2851	
DIACONATE	Diaconate			Deacon|Diaconate
DIOCESE	Diocese	A “particular church,” a community of the faithful in communion of faith and sacraments whose bishop has been ordained in apostolic succession. A diocese is usually a determined geographic area; sometimes it may be constituted as a group of people of the same rite or language. In Eastern churches, an eparchy.	833	
DISCIPLE	Disciple	Those who accepted Jesus’ message to follow him are called his disciples. Jesus associated his disciples with his own life, revealed the mystery of the Kingdom to the disciples and gave them a share in his mission, his joy, and his sufferings.	767,787	
DIVINE_OFFICE	Divine Office	The Liturgy of the Hours, the public prayer of the Church which sanctifies the whole course of the day and night. Christ thus continues his priestly work through the prayer of his priestly people.	1174	
DIVORCE	Divorce	The claim that the indissoluble marriage bond validly entered into between a man and a woman is broken. A civil dissolution of the marriage contract (divorce) does not free persons from a valid marriage before God; remarriage would not be morally licit.	1650,2382	
DOCTRINE_DOGMA	Doctrine/dogma	The revealed teachings of Christ which are proclaimed by the fullest extent of the exercise of the authority of the Church’s Magisterium. The faithful are obliged to believe the truths or dogmas contained in divine Revelation and defined by the Magisterium.	88	
DOXOLOGY	Doxology	Christian prayer which gives praise and glory to God, often in a special way to the three divine persons of the Trinity. Liturgical prayers traditionally conclude with the doxology “to the Father, through the Son, in the Holy Spirit”; the final doxology of the Lord’s Prayer renews the prayer’s first three petitions in the form of adoration and praise.	2639,2855	
EASTER	Easter	The greatest and oldest Christian feast, which celebrates Christ’s Resurrection from the dead. Easter is the “feast of feasts,” the solemnity of solemnities, the “Great Sunday.” Christians prepare for it during Lent and Holy Week, and catechumens usually receive the Sacraments of Christian Initiation (Baptism, Confirmation, Eucharist) at the Easter Vigil.	647,1169	
EASTERN_CHURCHES	Eastern Churches	Churches of the East in union with Rome (the Western Church), but not of Roman rite, with their own liturgical, theological, and administrative traditions, such as those of the Byzantine, Alexandrian or Coptic, Syriac, Armenian, Maronite, and Chaldean rites. The variety of particular churches with distinctive traditions witnesses to the catholicity of the one Church of Christ, which takes root in distinct cultures.	835,1202,1203	
ECCLESIASTIC_ECCLESIASTICAL	Ecclesiastic/ecclesiastical	Pertaining to or of the Church (Greek/Latin: ecclesia). Hence ecclesiastical government is church government (857); an ecclesiastical province is a grouping of church jurisdictions or dioceses (887); an ecclesiastic is a church official.	857,887	
ECONOMY	Economy	The structure and organization of productive work or activity in a society, forming the basis for financial support and stability of individuals, families, and society. The morality of economic activity is judged according to the seventh commandment; economic activity is one of the principal points addressed by the Church’s social doctrine.	2426,2430	
ECONOMY_OF_SALVATION	Economy Of Salvation (divine Economy)	From a Greek word (oikonomia, literally “management of a household” or “stewardship”) which refers to God’s revelation and communication of himself to the world in time for the sake of the salvation of all humanity; hence, the economy of salvation (258, 1066). The Fathers of the Church distinguished oikonomia from theologia; the latter term refers to the mystery of the internal life of the Trinity (236). The economy of salvation, on the other hand, refers to God’s activity in creating and governing the world, particularly with regard to his plan for the salvation of the world in the person and work of Jesus Christ, a plan which is being accomplished through his Body the Church, in its life and sacraments; hence, the “sacramental economy”.	236,258,1066,1076,1093	
ECUMENICAL_COUNCIL	Ecumenical Council			Council|Ecumenical
ECUMENISM	Ecumenism	Promotion of the restoration of unity among all Christians, the unity which is a gift of Christ and to which the Church is called by the Holy Spirit. For the Catholic Church, the Decree on Ecumenism of the Second Vatican Council provides a charter for ecumenical efforts.	816,820,821,822	
ENCYCLICAL	Encyclical	A pastoral letter written by the Pope and sent to the whole Church and even to the whole world, to express Church teaching on some important matter. Encyclicals are expressions of the ordinary papal magisterium.	892	
ENVY	Envy	Resentment or sadness at another’s good fortune, and the desire to have it for oneself. One of the seven capital sins, envy is contrary to the tenth commandment.	2539	
EPARCHY	Eparchy			Diocese
EPICLESIS	Epiclesis	The prayer petitioning God to send the Holy Spirit so that the offerings at the Eucharist may become the Body and Blood of Christ and thus the faithful, by receiving them, may themselves become a living offering to God. In every sacrament, the prayer asking for the sanctifying power of God’s Holy Spirit is an “epiclesis”.	1105,1127	
EPIPHANY	Epiphany	The feast which celebrates the manifestation to the world of the newborn Christ as Messiah, Son of God, and Savior of the world. The feast of Epiphany celebrates the adoration of Jesus by the wise men (magi) from the East, together with his baptism in the Jordan and the wedding feast of Cana in Galilee.	528,535	
EPISCOPAL_EPISCOPATE	Episcopal/episcopate	Pertaining to the office of bishop (Greek: episkopos), hence episcopal consecration, the episcopal college, episcopal conferences (883, 887, 1557). “Episcopate” is a collective noun referring to all those who have received sacramental ordination as bishops.	883,887,1557	
EREMITICAL_LIFE	Eremitical Life	The life of a hermit, separate from the world in praise of God and for the salvation of the world, in the silence of solitude, assiduous prayer, and penance.	920	
ESCHATOLOGY	Eschatology	From the Greek word eschaton, meaning “last.” Eschatology refers to the area of Christian faith which is concerned about “the last things,” and the coming of Jesus on “the last day”: our human destiny, death, judgment, resurrection of the body, heaven, purgatory, and hell—all of which are contained in the final articles of the Creed.	1001,1020,1021,1022,1023,1024,1025,1026,1027,1028,1029,1030,1031,1032,1033,1034,1035,1036,1037,1038,1039,1040,1041,1042,1043,1044,1045,1046,1047,1048,1049,1050,2771	
ETERNAL_LIFE	Eternal Life	Living forever with God in the happiness of heaven, entered after death by the souls of those who die in the grace and friendship of God (988, 1020). In preaching the kingdom of heaven, Jesus called all people to eternal life, which is anticipated in the grace of union with Christ: “This is eternal life, that they may know you, the only true God, and Jesus Christ whom you have sent” (Jn 17:3).	988,1020	
EUCHARIST	Eucharist	The ritual, sacramental action of thanksgiving to God which constitutes the principal Christian liturgical celebration of and communion in the paschal mystery of Christ. The liturgical action called the Eucharist is also traditionally known as the Holy Sacrifice of the Mass. It is one of the seven sacraments of the Church; the Holy Eucharist completes Christian initiation (1322 ff.). The Sunday celebration of the Eucharist is at the heart of the Church’s life.	1322,2177	Mass
EUCHARISTIC_PRAYER	Eucharistic Prayer			Canon of the Mass
EUTHANASIA	Euthanasia	An action or an omission which, of itself or by intention, causes the death of handicapped, sick, or dying persons—sometimes with an attempt to justify the act as a means of eliminating suffering. Euthanasia violates the fifth commandment of the law of God.	2277	
EVANGELICAL_COUNSELS	Evangelical Counsels	In general, the teachings of the New Law proposed by Jesus to his disciples which lead to the perfection of Christian life. In the New Law, the precepts are intended to remove whatever is incompatible with charity; the evangelical counsels are to remove whatever might hinder the development of charity, even if not contrary to it (1973). The public profession of the evangelical counsels of poverty, chastity, and obedience is a constitutive element of state of consecrated life in the Church.	915,1973	
EVANGELIST	Evangelist	One of the four authors to whom is ascribed the writing of the Gospels, i.e., Matthew, Mark, Luke, and John (125, 120). The term is also used for one who works actively to spread and promote the Christian faith.	120,125	
EVANGELIZATION	Evangelization	The proclamation of Christ and his Gospel (Greek: evangelion) by word and the testimony of life, in fulfillment of Christ’s command.	861,905	
